tweet,index
RT @rohanmlw: #demonetization eye opener video bt i doubt as few jurnos don't want2 hear +ve of @narendramodi @sardesairajdeep @ravishndtv…,48
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,49
RT @nmleo1: Is #ModiSarkar 's #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks?…,50
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,51
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",52
#demonetization is Communal and Black Money is Secular...,53
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",54
RT @nmleo1: @MinhazMerchant #demonetization hardly affects tax dodgers &amp; #NETAS who excel in #CashlessCorruption &amp; have multiplied bad weal…,55
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",56
"Section 144 issued by District Magistrate, #Indore prohibiting #socialmedia posts on #demonetization, Why??
#citizen https://t.co/5Tn7aNBTsi",57
RT @pGurus1: CPI-M opposes Co-op Banks in West Bengal but supports them in Kerala! Y Pawar U-turned on #Demonetization https://t.co/ThzaV7r…,58
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vCWWjxu0wb,59
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",60
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,61
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",62
"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",63
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,64
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",65
"Effects of sluggish economy, negative IIP, #Demonetization ! Does the Great Leader even bother except continued dra… https://t.co/DuvbMtEi1Y",66
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,67
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/5J6jZXbY81,68
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",69
"RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…",70
#Demonetization and the Indian Economy An Interview by Doordarshan with Sri S.Gurumurthy https://t.co/LdeBCADAeR,71
"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",72
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",73
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,74
RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…,75
"RT @Currency_crisis: What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using m…",76
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,77
Ppl of India extending overwhelming supprt to @narendramodi Ji's crusade agnst black money.Survey @timesofindia… https://t.co/Axqd8FOwpK,78
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",79
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,80
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",81
"People from rural areas are coming to Delhi just to withdraw cash. 

They have given up on govt. logistics. 

@ravishndtv #Demonetization",82
RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,83
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",84
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",85
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vv9qtRqqSI,86
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",87
RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…,88
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",89
"#demonetization 90 % of population is accepting it as country building measure, why these so called politicians opp… https://t.co/f91j6tZjZ2",90
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",91
"15 days after #demonetization, country is still suffering 4m acute shortage of currency notes.
Big loss 2 economy
Share market tumbling
SOS",92
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,93
"RT @ashu3page: Man ends life over fund shortage ahead of daughter’s wedding in Gujarat. #Demonetization 
https://t.co/DGAI5cf05y 
https://t…",94
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,95
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",96
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",97
"RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization",98
RT @ashu3page: A man shaved his head at Jantar-Mantar in protest against #Demonetization  on 13th day of the move. https://t.co/IeXuia3J0X,99
"Very unfortunate... India slips due to #demonetization 
@BJP4India @PMOIndia @RanaAyyub @TruthOfGujarat @AnupamPkher
https://t.co/6QhcGyBpKw",100
"What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using money 2 control people",101
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",102
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",103
"RT @sitaramlamba: Cooperative banks shut down, sowing season completely disrupted, agri markets &amp; Farmers badly affected #demonetization",104
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,105
RT @embracetheart: Delete! Pathetic PM who conducts false poll and self praises himself. #demonetization #BogusPoll #ModiScaredOfParliament…,106
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",107
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",108
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",109
"#Demonetization
https://t.co/0kq8BsJ1iS
When PM is in, opposition is out of parliament.",110
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",111
RT @CMOMaharashtra: Watch what @sonunigam thinks about #demonetization .. https://t.co/vXt09c64zY,112
RT @ShashiTharoor: . @anandkamal Frankly i don't understand why @narendramodi doesn't address Parlmnt on #Demonetization. It's his duty&amp;wil…,113
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",114
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",115
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,116
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",117
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",118
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",119
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,120
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",121
"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",122
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",123
Aam aadmi punished for sins of #blackmoney hoarders. SBI slashes  deposit rates by 1.9% #Demonetization #netascashin https://t.co/rqjsdiGvcG,124
"Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMufflerMan <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00AE>",125
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,126
"RT @ANI_news: The queues are not getting longer but are getting shorter day by day: Chanda Kochar,ICIC MD and CEO #demonetization https://t…",127
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",128
RT @karnataka_ioc: @indianoilcl giving cash through Mini ATMs to people in Hinterland. #IndiaKaDil. Helping rural people in #Demonetization…,129
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,130
"RT @PIB_India: Watch briefing on #Demonetization by DEA Secy @DasShaktikanta this morning here:
https://t.co/TDj2A6uO5u",131
@DeshhBhakt seems deskbhakt was in hibernation mode when GPS enabled 2000 rs was launched by #Modo 4 #demonetization <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>@MonaAmbegaonkar,132
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",133
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,134
"RT @dhrumilpatel: Looks Ambit Capital, literally Choked with #demonetization, come-on U can't lower d GDP nos by huge margin.
Perhaps, they…",135
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",136
"RT @bi_india: .@airtelindia takes a bite of the governemnt big #demonetization pie, becomes first #paymentbank to go live

https://t.co/gZv…",137
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",138
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",139
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",140
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",141
The opposition is getting troubled because all their #BlackMoney have become just a piece of paper due to #demonetization #<U+092C><U+0940><U+092E><U+093E><U+0930>_<U+0935><U+093F><U+092A><U+0915><U+094D><U+0937>,142
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",143
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",144
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",145
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",146
"@sritara @GabbbarSingh @sidin 
Please read alternative side of story also on #Demonetization &amp; support to PM Modi
https://t.co/SLJoymBy1m",147
The effect of #DeMonetization has already shared by @narendramodi  #Action are more important than words… https://t.co/TbCC8S5ETc,148
RT @ShashiTharoor: Joined the line of Opposition MPs demonstrating solidarity on #demonetization &amp;demanding that @PMOIndia address Parliame…,149
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",150
After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental stupidity.,151
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,152
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",153
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",154
"RT @YSRCParty: Days before #Demonetization announcement, @ncbn sold his Heritage shares,clearly evident that he had prior knowledge of the…",155
"RT @TheOfficialSBI: In view of  current situation, RTGS time  has been extended upto 6:30 PM till 24th November, 2016. #Demonetization http…",156
RT ZeeNewsSports: #Demonetization: harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with we… https://t.co/TaCfmKF3Cs,157
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",158
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",159
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,160
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",161
"RT @YSRCParty: Days before #Demonetization announcement, @ncbn sold his Heritage shares,clearly evident that he had prior knowledge of the…",162
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",163
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",164
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",165
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",166
"Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to them no PM Modi?",167
RT ZeeNewsSports: #Demonetization: harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with we… https://t.co/oJrbCBYmH9,168
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,169
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,170
"RT @_Hinduism_: How come those people crying for line in banks are not crying for line ups here in......

#demonetization https://t.co/ixY1…",171
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",172
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",173
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",174
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",175
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",176
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,177
#Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season… https://t.co/6QNe6KGqaO,178
RT @ashu3page: A man shaved his head at Jantar-Mantar in protest against #Demonetization  on 13th day of the move. https://t.co/IeXuia3J0X,179
RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,180
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,181
"RT @_Hinduism_: How come those people crying for line in banks are not crying for line ups here in......

#demonetization https://t.co/ixY1…",182
RT @ShashiTharoor: . @anandkamal Frankly i don't understand why @narendramodi doesn't address Parlmnt on #Demonetization. It's his duty&amp;wil…,183
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,184
RT @myvotetoday: Modi's #demonetization received massive public approval. So why is opposition worried about common man and create ruckus i…,185
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,186
"Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t.co/2Tt2SfM0g0",187
RT @ShashiTharoor: . @anandkamal Frankly i don't understand why @narendramodi doesn't address Parlmnt on #Demonetization. It's his duty&amp;wil…,188
RT @IndiaFactsOrg: #Demonetization: The Ultimate Weapon against Black economy https://t.co/fWvEuH2De6 via @IndiaFactsOrg,189
RT @ShashiTharoor: Joined the line of Opposition MPs demonstrating solidarity on #demonetization &amp;demanding that @PMOIndia address Parliame…,190
Monumental blunder or monumental plunder or both? #demonetization,191
RT @rishibagree: And they say #demonetization is failure https://t.co/WnjIUqIhdW,192
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",193
Modi acted against national interest. The way to cashless economy need not be #Demonetization. A badly planned move.,194
"RT @Atheist_Krishna: The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",195
"RT @rishibagree: More than 700 Fish Vendors across Kolkata have started using e-wallets.
Before #demonetization this number was zero .. Thi…",196
RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,197
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,198
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,199
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",200
"RT @Atheist_Krishna: The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",201
"RT @ANI_news: The queues are not getting longer but are getting shorter day by day: Chanda Kochar,ICIC MD and CEO #demonetization https://t…",202
RT @ShefVaidya: When was the last time you saw Naveen Patnaik or Chandrababu Naidu being interviewed on BBC or NDTV on #DeMonetization?,203
"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",204
"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",205
"RT @Atheist_Krishna: The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",206
RT @ashu3page: A man shaved his head at Jantar-Mantar in protest against #Demonetization  on 13th day of the move. https://t.co/IeXuia3J0X,207
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",208
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,209
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,210
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",211
RT @rishibagree: A Housewife's view on #demonetization https://t.co/nFwuiZUJOD,212
"RT @ItzCash: @suryanavin MD ItzCash , was live on ET talking about the impact of #Demonetization towards digitization in India.
https://t.c…",213
RT @ashu3page: A man shaved his head at Jantar-Mantar in protest against #Demonetization  on 13th day of the move. https://t.co/IeXuia3J0X,214
RT @MinhazMerchant: Difficult to verify but if true points to orchestrated campaign to discredit #demonetization with paid fear-mongers htt…,215
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",216
RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,217
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",218
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,219
"RT @jay_ambadi: L&amp;T is retrenching 14000 employees. 
Hope none of the supporters of #Demonetization are included!",220
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",221
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,222
